13:13:47.107844 [queue=1] packet #21, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delayed for 30ms
13:13:47.108841 [queue=0] packet #21, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delivered
13:13:47.109849 [queue=1] packet #16, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delayed for 50ms
13:13:47.109849 [queue=0] packet #16, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delivered
13:13:47.110841 [queue=1] packet #22, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delayed for 51ms
13:13:47.111837 [queue=0] packet #22, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delivered
13:13:47.111837 [queue=0] packet #23, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is dropped
13:13:47.112833 [queue=1] packet #23, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delayed for 76ms
13:13:47.113830 [queue=0] packet #23, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delivered
13:13:47.113830 [queue=1] packet #17, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delayed for 8ms
13:13:47.116820 [queue=0] packet #17, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delivered
13:13:47.128896 [queue=1] packet #24, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delayed for 32ms
13:13:47.129444 [queue=0] packet #24, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delivered
13:13:47.129891 [queue=0] packet #25, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=7 is dropped
13:13:47.132883 [queue=1] packet #25, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=7 is delayed for 77ms
13:13:47.132883 [queue=0] packet #25, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=7 is delivered
13:13:47.133884 [queue=1] packet #26, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=0 is delayed for 91ms
13:13:47.133884 [queue=0] packet #26, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=0 is delivered
13:13:47.134881 [queue=1] packet #27, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=0 is delayed for 46ms
13:13:47.135877 [queue=0] packet #27, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=0 is delivered
13:13:47.136874 [queue=1] packet #18, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delayed for 61ms
13:13:47.136874 [queue=0] packet #18, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delivered
13:13:47.137870 [queue=0] packet #19, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is dropped
13:13:47.138868 [queue=1] packet #19, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delayed for 91ms
13:13:47.138868 [queue=0] packet #19, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delivered
13:13:47.139864 [queue=1] packet #20, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delayed for 7ms
13:13:47.139864 [queue=0] packet #20, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delivered
